directory	hardness	fn	Quality	THRES	HIGHTHRES	NLIM	NLIMHOLES	numWhitePixels	numBlackPixels	ratio	numLargeBlobs	perimeterLength	axisRatio	countLargeHoles	medianLargeHoleAreas	maxLargeHoleAreas	meanDistances	stdDistances	modeDistances	medianDistances	skewnessDistances	erosionslope	frct01	medianEccentricity	medianArea	sumEdgesLow	sumEdgesHigh	areaOverEdgeLow	areaOverEdgeHigh	stdRaw	areaHigh	stdHigh	compactnessCenter	brightnessCenter	blackCoreFraction	intensityKurtosis	intensitySkewness	intensityRatio	skeletonLength	skeletonBranchPoints	skeletonEndPoints	fractalDim	log10Entropy	waveletEntropy	stdRays	lowRays	stdMaxRays	corrGLCM	energyGLCM	meanStd5	meanStd25	ms25over5	ms100over25	numContours
111924_250ppm	250	DSC_0162.jpg	1	70	200	1400	1000	1121804	69826	0.062244385	2	14205	1.217228032	25	1696	20137	657.5180981	80.19111346	634.8	643.9210531	0.54537841	0.114602105	12	0.843869967	862	0.142680547	0.117911077	7.008663897	8.480967376	49.13650947	229976	11.39054748	0.785689277	138.9732947	0.001513356	1.811387069	0.130822784	1.11128616	0.157813212	0.020700301	0.006277437	1.942124553	-1.44E-05	1.98E-05	6.931685419	144.7128687	69.69097428	0.959520712	0.854497394	2.52E-06	3.59E-06	1.424454231	1.214232061	0.0061711
111924_250ppm	250	DSC_0163.jpg	1	70	200	1400	1000	723369	77162	0.106670316	2	8133	1.553808504	17	1499	47283	507.2524186	112.7349415	576.7	534.0961817	-0.405174328	0.071103959	48	0.891335212	895.5	0.092838603	0.085189964	10.77138141	11.73847192	49.56580811	172298	9.825393189	0.705176049	122.1756913	0.002372475	1.659687793	0.0387387	1.072744767	0.114903352	0.012692088	0.004371628	1.922746499	-2.77E-05	3.07E-05	18.12206219	125.6846812	109.4386861	0.968707623	0.889412606	2.41E-06	3.56E-06	1.474867857	1.373456944	0.004598761
111924_250ppm	250	DSC_0164.jpg	1	70	200	1400	1000	634960	50026	0.078786065	1	6841	1.315873642	19	2140	9139	477.7271944	74.7044998	507.2	481.2540495	-0.468166474	0.073203509	42	0.872148513	1396.5	0.100168353	0.080119349	9.983193015	12.4813795	47.68041156	124564	9.699792649	0.896301189	154.8114864	0.00064095	1.715530324	-0.000583371	1.07406176	0.117033361	0.013662237	0.005081876	1.957332043	-1.97E-05	3.51E-05	15.31641811	126.5683702	83.19423545	0.957946982	0.857020422	2.54E-06	3.77E-06	1.486122013	1.356357572	0.0041478
111924_250ppm	250	DSC_0165.jpg	1	70	200	1400	1000	687461	27067	0.039372415	1	4886	1.743858481	12	2091	3966	486.6823291	118.9216904	440	464.302273	0.035565805	0.030983285	52	0.8861864	2215	0.040623394	0.058563704	24.6163578	17.07542272	46.16111018	162352	10.21470449	0.932353503	167.4737483	0.000380213	1.864083946	-0.011461686	1.222905045	0.063656829	0.003448501	0.001314542	1.952022363	-2.93E-05	3.25E-05	18.31999457	122.8909709	125.1759967	0.980344579	0.890007222	2.02E-06	3.06E-06	1.514523623	1.479642719	0.002455356
111924_250ppm	250	DSC_0166.jpg	1	70	200	1400	1000	739670	11734	0.015863831	1	5276	1.377974906	7	1447	3827	486.7727151	101.9467583	572.3	505.3059739	-0.712799757	0.024634364	57	0.903182917	1651.5	0.028751917	0.058790225	34.7802895	17.00963041	46.11694879	177509	10.52509369	0.951991788	181.9561377	0.000251949	1.850772986	0.014409429	1.195091812	0.058151083	0.002943025	0.000883718	1.938470485	-1.28E-05	3.03E-05	16.95923513	137.3210977	102.4654949	0.9707387	0.836956306	1.91E-06	2.80E-06	1.469180298	1.441630458	0.002457925
111924_250ppm	250	DSC_0167.jpg	1	70	200	1400	1000	713339	244135	0.342242608	2	6188	1.143719698	25	1510	202366	585.8551026	43.45878572	595.08	588.7363948	-0.136259874	0.085348901	17	0.885283871	1385	0.11409639	0.094770391	8.764519162	10.55181892	48.28744475	133554	11.18168356	0.425075796	91.43354262	0.006260303	1.848835731	0.209763006	1.056679567	0.117709742	0.011588078	0.004347445	1.907278425	-4.13E-05	3.12E-05	12.6043044	123.9336855	42.81374565	0.96227622	0.882420318	2.68E-06	4.15E-06	1.550724882	1.361159153	0.003834833
111924_250ppm	250	DSC_0168.jpg	1	70	200	1400	1000	768564	255025	0.331820122	1	5704	1.204427095	17	1818	217132	592.0899288	47.45520777	592.95	595.1884906	-0.096400101	0.05062337	26	0.841370076	914.5	0.063560383	0.065805842	15.73307074	15.19621913	46.37400374	131341	10.15936191	0.27071577	67.89168345	0.010672476	1.900850619	0.191626313	1.111296404	0.077696011	0.005110982	0.00186019	1.922883037	-3.85E-05	2.91E-05	15.59499685	118.1436227	49.99303779	0.976635175	0.886926258	2.10E-06	3.47E-06	1.646579345	1.441489893	0.002056068
111924_250ppm	250	DSC_0169.jpg	1	70	200	1400	1000	885349	4725	0.005336878	1	4683	1.134140707	3	1123	2544	537.3228931	47.690711	567.56	554.4819866	-0.724460254	0.023724994	58	0.939872296	1057	0.024792549	0.088815128	40.33469945	11.25934306	40.70121469	146518	9.523887676	0.985165023	176.1287316	7.20E-05	2.057238743	-0.151552487	1.109181832	0.063546147	0.003958227	0.000961897	1.969719073	-7.65E-06	2.53E-05	8.96763762	144.9157811	49.85766711	0.97919238	0.904646694	1.92E-06	2.65E-06	1.383440777	1.419935241	0.006125882
111924_250ppm	250	DSC_0170.jpg	1	70	200	1400	1000	1284402	66632	0.051877839	1	9155	1.006823596	24	1540	21609	706.6228233	48.36784435	699.5	703.0745061	0.200834163	0.111837649	12	0.835233811	788	0.131669055	0.110906443	7.594798935	9.016608716	47.57133866	230906	11.24100852	0.711304597	130.4018448	0.002174525	1.890352622	0.206332367	1.099700934	0.153635882	0.020388623	0.00513343	1.928214756	-1.57E-05	1.74E-05	6.444301804	138.3511348	47.38405743	0.960540877	0.855135651	2.41E-06	3.43E-06	1.423503671	1.217967683	0.006289538
111924_250ppm	250	DSC_0171.jpg	1	70	200	1400	1000	709530	99355	0.140029315	1	9191	1.094731047	29	1568	34676	432.5866796	170.0329045	563.3	521.8113116	-0.70466594	0.073466379	20	0.905844773	1093	0.096704032	0.081399225	10.34083042	12.2851293	46.4416162	113081	11.13758248	0.611280003	114.4693688	0.003349819	1.921053602	0.161801696	1.056670772	0.100122685	0.008289637	0.003156757	1.904017376	-3.46E-05	3.14E-05	11.24224942	130.2962384	49.58689926	0.967374535	0.896238281	2.52E-06	4.01E-06	1.593493757	1.364316968	0.002988695
111924_250ppm	250	DSC_0172.jpg	1	70	200	1400	1000	738169	32961	0.044652376	2	5229	1.27088596	8	2140	15737	516.5197642	105.4711954	573.5	524.8649299	0.991786634	0.033169369	47	0.897515099	865	0.041510357	0.052943077	24.09037322	18.88821081	45.59972124	156921	9.717559709	0.811475867	134.9800883	0.001367437	1.876913578	0.070261766	1.143226457	0.062495353	0.003279624	0.001230197	1.93530631	-4.01E-05	3.03E-05	17.77321826	128.0390556	90.0951643	0.979625899	0.888882023	1.95E-06	3.06E-06	1.570235588	1.446215299	0.001708757
111924_250ppm	250	DSC_0173.jpg	1	70	200	1400	1000	745930	6468	0.008671055	1	3581	1.256042337	5	1314	1398	500.1395978	50.17080707	451.74	498.5642481	0.001824643	0.022680546	64	0.934232924	1105	0.029249311	0.076705127	34.18883904	13.03693812	40.89530549	158510	10.35787203	0.9539993	182.7113597	0.000239268	2.209971143	-0.142649862	1.121926121	0.056211596	0.003189519	0.001061834	1.942788674	-3.97E-05	2.97E-05	9.146879195	159.289329	51.14820219	0.979180461	0.893413131	2.12E-06	3.18E-06	1.497099657	1.462927558	0.003461338
